experiment,mode,N,workers,repeat,pi,error,time_sec,time_std,speedup,efficiency,efficiency_percent,notes
n_size,serial,1000000,1,3,3.141592653589764,2.886579864025407e-14,0.000957000,0.000017282,1.000000,1.000000,100.00,baseline for the same N
n_size,openmp,1000000,4,3,3.141592653589876,8.260059303211165e-14,0.000311667,0.000004028,3.070585,0.767646,76.76,
n_size,mpi,1000000,4,3,3.141592653589903,1.101341240428155e-13,0.000500333,0.000069887,1.912726,0.478182,47.82,
n_size,serial,10000000,1,3,3.141592653589731,6.217248937900877e-14,0.009641333,0.000050162,1.000000,1.000000,100.00,baseline for the same N
n_size,openmp,10000000,4,3,3.141592653589670,1.234568003383174e-13,0.002713000,0.000165535,3.553753,0.888438,88.84,
n_size,mpi,10000000,4,3,3.141592653589686,1.070254995738651e-13,0.003967000,0.001152563,2.430384,0.607596,60.76,
n_size,serial,100000000,1,3,3.141592653590426,6.332712132461893e-13,0.096442000,0.000779041,1.000000,1.000000,100.00,baseline for the same N
n_size,openmp,100000000,4,3,3.141592653589683,1.105782132526656e-13,0.027469667,0.000930182,3.510854,0.877714,87.77,
n_size,mpi,100000000,4,3,3.141592653590217,4.236611061969597e-13,0.030769667,0.002287989,3.134321,0.783580,78.36,
n_size,serial,1000000000,1,3,3.141592653589971,1.776356839400250e-13,0.989569667,0.039270648,1.000000,1.000000,100.00,baseline for the same N
n_size,openmp,1000000000,4,3,3.141592653589821,2.797762022055394e-14,0.295291000,0.014165806,3.351168,0.837792,83.78,
n_size,mpi,1000000000,4,3,3.141592653589768,2.486899575160351e-14,0.263232000,0.000326019,3.759306,0.939827,93.98,
